# OpenSignals Text File Format
# {"98:D3:31:B2:10:CE": {"sensor": ["EDABIT", "ECGBIT"], "device name": "98:D3:31:B2:10:CE", "column": ["nSeq", "I1", "I2", "I3", "I4", "A2", "A3"], "sync interval": 2, "time": "13:35:1.838", "comments": "", "device connection": "BTH98:D3:31:B2:10:CE", "channels": [2, 3], "keywords": "", "convertedValues": 0, "mode": 0, "digital IO": [0, 0, 0, 0, 1, 1, 1, 1], "firmware version": 771, "device": "bitalino", "position": 0, "sampling rate": 100, "label": ["A2", "A3"], "resolution": [4, 1, 1, 1, 1, 10, 10], "date": "2018-4-10", "special": [{}, {}]}}
# EndOfHeader
0	0	0	0	0	939	529	
1	0	0	0	0	939	529	
2	0	0	0	0	939	529	
3	0	0	0	0	939	529	
4	0	0	0	0	939	524	
5	0	0	0	0	939	516	
6	0	0	0	0	939	513	
7	0	0	0	0	939	511	
8	0	0	0	0	940	511	
9	0	0	0	0	940	510	
10	0	0	0	0	940	505	
11	0	0	0	0	940	518	
12	0	0	0	0	940	526	
13	0	0	0	0	940	524	
14	0	0	0	0	940	519	
15	0	0	0	0	940	508	
0	0	0	0	0	940	505	
1	0	0	0	0	940	505	
2	0	0	0	0	940	505	
3	0	0	0	0	940	506	
4	0	0	0	0	940	507	
5	0	0	0	0	940	505	
6	0	0	0	0	940	505	
7	0	0	0	0	940	468	
8	0	0	0	0	940	441	
9	0	0	0	0	940	615	
10	0	0	0	0	940	729	
11	0	0	0	0	940	391	
12	0	0	0	0	940	420	
13	0	0	0	0	940	463	
14	0	0	0	0	940	519	
15	0	0	0	0	940	511	
0	0	0	0	0	940	515	
1	0	0	0	0	940	519	
2	0	0	0	0	940	519	
3	0	0	0	0	940	524	
4	0	0	0	0	940	526	
5	0	0	0	0	940	527	
6	0	0	0	0	940	528	
7	0	0	0	0	940	531	
8	0	0	0	0	940	531	
9	0	0	0	0	940	531	
10	0	0	0	0	940	534	
11	0	0	0	0	940	536	
12	0	0	0	0	940	536	
13	0	0	0	0	940	540	
14	0	0	0	0	940	545	
